88374,2012-1-3,2012-10-30,nor,P2,Non,able-team@list.alcatel-lucent.com,y.sheng,RESO,FIXE,Security,,TopCat,9.0.0.0.,QDLab_Dev,,9-0-0,25752,ALU Lab - AT&T USP,15732,None,NotReviewed,Des,None,1-4073458,None,FID 15732.0 - Consistent Security Configuration and Hardening Throughout IMS
88376,2012-1-3,2012-4-9,maj,P2,ATC,team-energy@list.alcatel-lucent.com,eric.px.wang,VERI,WONT,Signaling,GCC,TopCat,9.0.0.0.,QDLab_SQA,,9-0-0,,,6300,No,NotReviewed,New,None,,None,QD MARS 9.0: ccs cored on ACCM when run a INAP FCI call using UserAbort.
88378,2012-1-4,2012-2-28,nor,P2,MGC,sunj,ted.zhou,RESO,WONT,Signaling,GCC,TopCat,8.1.0.4.,QDLab_Sust,,NotTriaged,24378,System Test,,None,NotReviewed,New,None,,None,SUST 8.1.0.4.SP5.4: outpulse field in BTS is different for intraccs/interccs ISU
88380,2012-1-4,2012-1-19,cri,P1,ATC,scottgai,leo.c.liu,VERI,FIXE,LayerMgmt,SLAM,TopCat,8.3.0.1.,QDLab_SQA,1/9/2012,8-3-0,,,14457,No,NotReviewed,New,None,,None,"QD System SQA 8.3 FID16201::HUG from 821.3.0.60 to 83.0.1.0.49, After ACCM card"
88381,2012-1-4,2012-1-4,nor,P2,ATC,yuqinzhang,ming.jin,RESO,INVA,Signaling,GCC,TopCat,9.0.0.0.,QDLab_Dev,,9-0-0,,,15319.1,None,NotReviewed,New,None,,None,QD 9.0: IOI value should not be polulated into billing record in some scenarios
88383,2012-1-4,2012-9-27,nor,P2,Non,patton.wang,patton.wang,RESO,FIXE,Signaling,GCC,TopCat,9.0.0.0.,NALab_Dev,,9-0-0,,,16204,None,NotReviewed,New,None,,None,FID16204: Services on ISDN PRA UUS1
88387,2012-1-4,2012-1-4,maj,P2,MG,jzhang6,nathan.ren,RESO,INVA,Platform,IOM Driver,TopCat,8.2.2.0.,QDLab_SQA,,NotTriaged,,,,None,NotReviewed,New,None,,None,QD System SQA 8.2.2: ENA ARP ALARMING does not work on hot-upgraded chassis
88394,2012-1-5,2012-1-17,maj,P2,ATC,hanven.gu,Colin.Cui,VERI,FIXE,LayerMgmt,SLAM,TopCat,9.0.0.0.,QDLab_Dev,fixed,9-0-0,,,6300,No,NotReviewed,New,None,,None,QD MARS 9.0:PRFL-SIP is limited to 32
88395,2012-1-5,2012-3-21,nor,P2,MGC,tfredericks,tfredericks,RESO,FIXE,Platform,sp_slave,TopCat,8.1.0.9.,NALab_Sust,,NotTriaged,24418,DSCI,7000,None,BackportDenied,New,None,,None,Move of floating IP addresses on slave during failover is missing a check in
88397,2012-1-5,2012-3-12,nor,P2,SG,Ran_Ran.Cheng,Yan_Sarah.Sun,RESO,CANT,Platform,LynxOS,TopCat,8.4.0.0.,QDLab_SQA,2012-1-16,9-0-0,,,,None,NotReviewed,New,None,,None,QD SQA 8.4: cpy mem time out when upgrading linux from 5.0 to 5.1
88401,2012-1-6,2012-4-5,nor,P2,MG,ksenlu,nathan.ren,VERI,FIXE,LayerMgmt,SLAM,TopCat,8.2.2.0.,QDLab_SQA,,8-2-0-2,24546,ALU lab - AT&T Mobility,16423,None,NotReviewed,New,None,,None,QD System SQA 8.2.2 FID-16423: VSM SCD alarm text string is confusing
88403,2012-1-8,2012-2-1,nor,P2,ATC,hong,eric.px.wang,VERI,FIXE,LayerMgmt,SLAM,TopCat,9.0.0.0.,QDLab_SQA,,9-0-0,,,15031,No,NotReviewed,New,None,,None,QD MARS TL1 Regr: SIPORIGTRKCTXT and SIPTERMTRKCTXT show wrong value in rtrv-DIG
88404,2012-1-8,2012-11-2,nor,P2,MGC,yex,Yan_Sarah.Sun,RESO,FIXE,Signaling,ISUP,TopCat,8.4.0.0.,QDLab_SQA,Fixed,9-0-0,25734,Internal,5120,No,NotReviewed,New,None,,None,QD SQA 8.4: CCS core during SP sync after hugging SP to 8.4
88405,2012-1-8,2012-3-22,nor,P3,ATC,team-energy@list.alcatel-lucent.com,park.yang,RESO,FIXE,LayerMgmt,SLAM,TopCat,8.4.0.0.,All,,9-0-0,,,16559,None,NotReviewed,New,None,,None,Development for FID16559.0
88407,2012-1-9,2012-2-21,cri,P1,ATC,Judy.m.fan,leo.c.liu,VERI,FIXE,LayerMgmt,DB-MySQL,TopCat,8.3.0.1.,QDLab_SQA,Fixed,9-0-0,,,16201,No,NotReviewed,New,None,,None,"QD System SQA 8.3 FID16201:HUG from 821.3.0.60 to 8.3.0.1.0.58,after hug stanby"
88410,2012-1-9,2012-2-2,nor,P2,MGC,sunj,ted.zhou,RESO,DUPL,Signaling,GCC,TopCat,8.1.0.9.,QDLab_Sust,fixed,NotTriaged,24397,System Test,,None,NotReviewed,New,None,,None,"SUST 8.1.0.11.0.1: Plexus maps ACM to 183 for inter-ccs ISUP2SIP call, but maps"
88412,2012-1-9,2012-2-16,nor,P1,MGC,Alex_Qd.Liu,Fang_Lei.Zhao,VERI,FIXE,Signaling,GCC,TopCat,8.3.0.1.,QDLab_SQA,2012-2-8,8-3-0,,,15737,No,NotReviewed,New,None,,None,QD SQA 8.3 Regr SORM X2 interception always populate alarm 16.
88415,2012-1-9,2012-1-16,cri,P1,Non,liangc,tahar.khiraoui,RESO,FIXE,InternalTools,TestAutomation,TopCat,2-0-0-10,NALab_Dev,,NotTriaged,,,,None,NotReviewed,New,None,,None,PTA fails to stop SIPp
88418,2012-1-10,2012-10-11,nor,P1,ATC,tony.a.wang,leo.c.liu,VERI,FIXE,Platform,FAM,TopCat,8.3.0.1.,QDLab_SQA,Fixed,8-3-0,,,16201,Yes,NotApplicable,New,None,,None,QD System SQA 8.3 FID16201:Roll Back from 8.3.0.1.0.58 to 821.3.0.60 Failed
88420,2012-1-10,2012-3-21,maj,P2,MG,scrum-kungfu@list.alcatel-lucent.com,pge,RESO,FIXE,Signaling,PLM,TopCat,8.2.0.2.,NALab_SQA,,9-0-0,,,7000,Unknown,BackportDenied,New,None,,None,8.2.2 System SQA: slk can't be provisioned after deleting/adding
